Name,Dates associated with name,Type of name,Role,Other names,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
5pb,,person,author,"Sarachi, Yomi, artist [person] ; 5pb, author [person] ; Nitroplus, author [person]",017381699,Monograph,Language material ; Text,Volume,GBB570916,9781927925508,Steins;gate. Volume 1,,,,Canada,Richmond Hill,Udon Entertainment,2015,English edition,"1 volume (unpaged), chiefly colour illustrations, 18 cm",741.5,,,Science fiction,English,Translated from the Japanese
5pb,,person,author,"Sarachi, Yomi, artist [person] ; 5pb, author [person] ; Nitroplus, author [person]",017533820,Monograph,Language material ; Still image ; Text,Volume,GBB5C1618,9781927925553,Steins;Gate. Volume 2,,,,Canada,Richmond Hill,Udon Entertainment,2015,,"1 volume (unpaged), chiefly colour illustrations, 18 cm",741.5,,,Science fiction,English,Translated from the Japanese
"5pb, Inc. (Firm)",,organisation,author,"Sarachi, Yomi, artist [person] ; Nitroplus (Firm), author [organisation] ; 5pb, Inc. (Firm), author [organisation]",017745202,Monograph,Language material ; Still image ; Text,Volume,GBB624577,9781927925713,Steins;Gate. Volume 3,,,,Canada,Richmond Hill,Udon Entertainment,2016,,"1 volume (unpaged), chiefly colour illustrations, 18 cm",741.5,,,Science fiction,English,Translated from the Japanese
A Larger World Studios,,organisation,,"Terry, Jim, artist ; author [person] ; A Larger World Studios [organisation] ; Seeley, Tim, author [person] ; Oliva, Aikau [person]",017766293,Monograph,Language material ; Still image ; Text,Volume,GBB634622,9781606908815,Alice Cooper vs. Chaos,Alice Cooper versus Chaos,,,United States of America,Mount Laurel,Dynamite,2016,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YKL.2017.b.5524,"Cooper, Alice, 1948---Comic books, strips, etc--Fiction ; Graphic novels",Comic or graphic novel ; Fiction ; Horror,English,Collects the complete 6-issue miniseries
"ABe, Yoshitoshi",1971-,person,,"Jarvis, Mulele [person] ; ABe, Yoshitoshi, 1971- [person] ; Jaffe, Taliesin [person] ; Klein, Jonathan [person] ; Geneon Entertainment (Usa) [organisation]",013470413,Monograph,Language material ; Text,Volume,GBA648197,,Yoshitoshi ABe's Haibane Renmei anime manga,Haibane Renmei anime manga,,,United States of America,"Milwaukie, Oregon",Dark Horse Manga,2006-,,"volumes, chiefly colour illustrations, 19 cm",741.5952,YK.2009.a.22034,"Angels--Comic books, strips, etc",Comic or graphic novel ; Fantasy ; Novel,English,"'Features the first six chapters from New feathers and Wings of sorrow'--Vol. 1, back cover ; 'Manga / science fiction / action.'--p. 4 of cover ; Description based on v. 1: written by Yoshitoshi ABe ; Translated from the Japanese"
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Bachalo, Chris [person] ; Bradshaw, Nick, artist [person]",016106972,Monograph,Language material ; Text,Volume,GBB259556,9780785159995,Wolverine and the X-Men. Volume 3,,,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Bachalo, Chris [person] ; Bradshaw, Nick, artist [person]",016135514,Monograph,Language material ; Text,Volume,GBB274768,9780785156802,Wolverine and the X-Men. Volume 1,,,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Bachalo, Chris [person] ; Bradshaw, Nick, artist [person]",016156147,Monograph,Language material ; Text,Volume,GBB284662,9780785165422,Wolverine and the X-Men. Volume 4,,,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Bachalo, Chris [person] ; Bradshaw, Nick, artist [person]",016219170,Monograph,Language material ; Text,Volume,GBB2B9613,9780785156826,Wolverine and the X-Men. Volume 2,,,,England ; United States of America,London ; New York,Marvel ; Turnaround,2013,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Bachalo, Chris [person] ; Bradshaw, Nick, artist [person]",016233498,Monograph,Language material ; Text,Volume,GBB2C7547,9780785160007,Wolverine and the X-Men. Volume 3,,,,England ; United States of America,London ; New York,Marvel ; Turnaround,2013,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
